,,Kappa Values for lines of contstant kappa (1.0 down to 0.001),,,,,,,,,,,,,,,,,,,,,,,,,,,
Diameter (m),Diameter (nm),k = 1,k = 0.9,k = 0.8,k = 0.7,k = 0.6,k = 0.5,k = 0.4,k = 0.3,k = 0.2,k = 0.1,k = 0.09,k = 0.08,k = 0.07,k = 0.06,k = 0.05,k = 0.04,k = 0.03,k = 0.02,k = 0.01,k = 0.009,k = 0.008,k = 0.007,k = 0.006,k = 0.005,k = 0.004,k = 0.003,k = 0.002,k = 0.001
1.00E-08,10,3.7537,3.9555,4.193,4.4781,4.8287,5.2738,5.8643,6.6982,7.9999,10.4573,10.8423,11.2728,11.7591,12.3158,12.9642,13.7372,14.6915,15.9388,17.7725,18.0174,18.2808,18.5664,18.8792,19.2239,19.5777,19.9335,20.2916,20.6517
1.05E-08,10.5,3.4974,3.6855,3.907,4.1729,4.5,4.9157,5.4678,6.249,7.4722,9.7951,10.1607,10.5698,11.0326,11.5631,12.1817,12.9205,13.8342,15.0307,16.7938,17.0297,17.2834,17.5585,17.8601,18.1948,18.5455,18.8983,19.2532,19.6103
1.10E-08,11,3.2588,3.4342,3.6407,3.8886,4.1939,4.5821,5.0982,5.8298,6.979,9.1743,9.5213,9.9101,10.3504,10.8558,11.4461,12.1521,13.0268,14.1748,15.8704,16.0975,16.342,16.6072,16.8979,17.2209,17.5685,17.9184,18.2705,18.6246
1.15E-08,11.5,3.0367,3.2002,3.3927,3.624,3.9088,4.2713,4.7537,5.4388,6.5182,8.5923,8.9215,9.2909,9.7097,10.1911,10.7543,11.429,12.2665,13.3678,14.9988,15.2176,15.4531,15.7088,15.9891,16.3007,16.6435,16.9907,17.3399,17.6912
1.20E-08,12,2.8299,2.9822,3.1618,3.3775,3.6433,3.9818,4.4326,5.0741,6.0876,8.0465,8.3589,8.7097,9.108,9.5665,10.1037,10.7484,11.5502,12.6069,14.1758,14.3866,14.6136,14.8601,15.1305,15.4312,15.7673,16.1119,16.4585,16.8072
1.26E-08,12.6,2.6373,2.7793,2.9467,3.1479,3.3959,3.7119,4.1333,4.7337,5.6852,7.5348,7.8311,8.1642,8.5429,8.9795,9.4918,10.1077,10.8752,11.8891,13.3986,13.6018,13.8206,14.0583,14.3191,14.6093,14.9371,15.2792,15.6233,15.9695
1.32E-08,13.2,2.4579,2.5903,2.7464,2.9341,3.1655,3.4605,3.8543,4.4162,5.3092,7.0551,7.3359,7.6521,8.0121,8.4277,8.9162,9.5046,10.2392,11.212,12.6644,12.8602,13.0711,13.3004,13.5521,13.8323,14.1501,14.4899,14.8317,15.1755
1.38E-08,13.8,2.2908,2.4143,2.5598,2.7348,2.9508,3.2262,3.5941,4.1199,4.9578,6.6052,6.8714,7.1714,7.5135,7.909,8.3747,8.9367,9.6398,10.5731,11.9706,12.1593,12.3628,12.5839,12.8269,13.0973,13.4045,13.7415,14.0811,14.4226
1.45E-08,14.5,2.1352,2.2503,2.386,2.5493,2.7507,3.0078,3.3516,3.8435,4.6295,6.1834,6.4356,6.7203,7.0452,7.4215,7.8653,8.402,9.0748,9.9702,11.315,11.4969,11.6931,11.9065,12.1409,12.4021,12.6988,13.0317,13.3692,13.7086
1.52E-08,15.2,1.9902,2.0975,2.2241,2.3763,2.5643,2.8043,3.1254,3.5856,4.3227,5.788,6.0268,6.2968,6.6054,6.9633,7.3861,7.8985,8.5423,9.4011,10.6952,10.8706,11.0598,11.2657,11.492,11.7443,12.031,12.3583,12.6937,13.0312
1.59E-08,15.9,1.8552,1.9552,2.0732,2.2152,2.3906,2.6146,2.9146,3.345,4.036,5.4173,5.6434,5.8993,6.1923,6.5326,6.9353,7.4243,8.0402,8.864,10.1093,10.2784,10.4609,10.6595,10.8781,11.1218,11.3988,11.7193,12.0528,12.3883
1.67E-08,16.7,1.7293,1.8226,1.9326,2.0651,2.2287,2.4378,2.718,3.1205,3.7682,5.0697,5.2837,5.5262,5.8043,6.1277,6.5113,6.9778,7.5669,8.357,9.5552,9.7183,9.8943,10.086,10.297,10.5324,10.8002,11.1127,11.4444,11.778
1.75E-08,17.5,1.6121,1.6991,1.8017,1.9252,2.0778,2.273,2.5346,2.911,3.518,4.744,4.9464,5.1761,5.4399,5.7472,6.1123,6.5574,7.1206,7.8783,9.0313,9.1885,9.3583,9.5433,9.747,9.9745,10.2333,10.5367,10.8667,11.1986
