scan time,real time,dp,SMPS Count,CCNC Count,Ave Size
1,09:46:29,3.136194669945977,891,1089.57,1.26780868385346
2,09:46:30,3.2280203315631093,623,657.28,1.2819148936170213
3,09:46:31,3.3222561483879334,401,337.38,1.2377717391304348
4,09:46:32,3.4191257933369013,287,164.52,1.2096774193548387
5,09:46:33,3.520248782558142,237,83.14,1.2936046511627908
6,09:46:34,3.6226633256357776,172,38.40,1.3486842105263157
7,09:46:35,3.728434194024846,154,17.02,1.6785714285714286
8,09:46:36,3.8373637512611545,118,6.23,1.4821428571428572
9,09:46:37,3.94858579991357,113,6.25,1.75
10,09:46:38,4.0639030745829245,95,3.58,1.75
11,09:46:39,4.1824850588853835,94,2.67,1.25
12,09:46:40,4.306154597602735,97,0.89,1.75
13,09:46:41,4.431201718865597,72,0.89,1.5833333333333333
14,09:46:42,4.559533123617437,72,2.67,1.5
15,09:46:43,4.692736767540751,63,1.79,1.2916666666666667
16,09:46:44,4.83003924626866,52,2.67,1.75
17,09:46:45,4.969549938569201,61,0.89,0
18,09:46:46,5.116045712906061,46,0.00,0
19,09:46:47,5.264949105911334,53,0.00,2.0
20,09:46:48,5.419588597816196,67,1.78,1.75
21,09:46:49,5.580308138203357,39,0.89,0
22,09:46:50,5.738815271375464,65,0.00,1.3125
23,09:46:51,5.908794053465353,50,1.78,1.75
24,09:46:52,6.078180174004195,54,1.79,1.75
25,09:46:53,6.257901442244219,45,1.78,1.75
26,09:46:54,6.439491601487785,54,0.88,1.75
27,09:46:55,6.62804718172043,55,0.89,1.5833333333333333
28,09:46:56,6.824008224864868,36,2.68,1.75
29,09:46:57,7.018070857905971,54,2.68,1.3125
30,09:46:58,7.229093148535564,56,1.79,1.75
31,09:46:59,7.438231446766173,48,0.89,1.25
32,09:47:00,7.6565686769230785,50,0.89,0
33,09:47:01,7.881270541703243,55,0.00,1.75
34,09:47:02,8.1102275628692,65,0.89,1.75
35,09:47:03,8.353758153679653,68,0.89,0
36,09:47:04,8.592743454125408,75,0.00,1.25
37,09:47:05,8.848181578730905,93,0.90,0
38,09:47:06,9.106210186304137,117,0.00,0
39,09:47:07,9.375921579313344,127,0.00,1.25
40,09:47:08,9.648037632352935,146,0.90,0
41,09:47:09,9.930301019821604,140,0.00,0
